Date,Open,High,Low,Close,Volume
2022-05-06,61.9,66.42,61.2,66.42,725737
2022-05-09,66.42,67.16,63.52,65.04,360411
2022-05-10,65.02,65.58,61.96,62.86,465960
2022-05-11,63,64.92,62.4,64.54,285240
2022-05-12,63,64.1,61.38,63.04,454468
2022-05-13,64.48,68,64.02,68,491125
2022-05-16,68.96,69.32,65.92,66.64,471887
2022-05-17,67.54,68.88,66.84,67.32,356710
2022-05-18,67.5,68.64,67.3,68,317098
2022-05-19,67.76,69.5,64.9,69.46,824297
2022-05-20,70,71.5,66.6,66.6,921298
2022-05-23,68,70,66.98,70,602885
2022-05-24,69,72.8,68.2,71.5,1023790
2022-05-25,72,72.2,69.14,69.56,454123
2022-05-26,69.6,69.94,67.02,67.9,528536
2022-05-27,68.04,69.18,67.3,68.5,360185
2022-05-30,69.4,69.7,67.06,67.5,309740
2022-05-31,67.74,68.2,66.4,66.4,561779
2022-06-01,66.68,66.7,64.12,64.7,477886
2022-06-02,64.9,67.34,64.54,67.34,361672
2022-06-03,67.98,68,65.66,65.8,270901
2022-06-06,66.78,68.7,66.02,67.7,421622
2022-06-07,67.7,70.2,67.12,70.2,532571
2022-06-08,70.6,73.86,69.12,69.98,1304414
2022-06-09,69.66,71.6,68.92,70.4,561287
2022-06-10,69.12,70.2,68,68.4,523929
2022-06-13,66.36,67,64.26,64.26,827001
2022-06-14,64,67.36,63.72,67.36,759514
2022-06-15,67.5,68.24,66,68.2,393833
2022-06-17,67.2,68.06,64.7,65.98,929673
2022-06-20,66.42,67.2,62.98,63.02,688486
2022-06-21,64,66.58,63.64,66.2,519126
2022-06-22,65,65.28,63.6,64.8,587222
2022-06-23,64.8,64.98,60.88,60.88,928668
2022-06-24,61.42,62.5,57.84,60.48,1045041
2022-06-27,61,63.9,60.44,63.8,580961
2022-06-28,63.98,66.28,62.8,64.36,1109543
2022-06-29,63.28,65.32,62.68,65.32,574745
2022-06-30,64.2,65.88,63.76,64.32,664367
2022-07-01,62.98,63.7,57.92,57.92,1952533
2022-07-04,58.16,59.44,56.24,58.9,614533
2022-07-05,59.12,59.42,50.5,50.98,2254325
2022-07-06,50.98,52.48,48,48,2041893
2022-07-07,48.5,52.18,48.5,52,1104887
2022-07-08,52,52.94,50.48,52.16,720675
2022-07-11,50.64,52.4,49.9,51.04,645841
2022-07-12,50.96,53.48,50.2,52.36,648779
2022-07-13,52.58,52.58,47.75,49.58,1175112
2022-07-14,49.99,52.08,48.7,49.86,691182
2022-07-15,50.8,50.84,49.22,50,503228
2022-07-18,50.22,53.32,50.22,52.5,843213
2022-07-19,52.5,52.62,50.8,51.98,644531
2022-07-20,52.5,53.4,51.1,52,494045
2022-07-21,52,52.24,49.9,50.22,515845
2022-07-22,50.4,51.24,50,50.2,366325
2022-07-25,50.52,51.04,49.62,49.87,368684
2022-07-26,50.1,51.18,47.22,48.1,822264
2022-07-27,48.12,48.64,46.26,47.96,465125
2022-07-28,48.6,49.84,47.57,48.08,492740
2022-07-29,48.99,50.68,48.38,50.42,612778
2022-08-01,50.9,51.66,50.2,51.1,395341
2022-08-02,50.14,50.74,48.66,49,443544
2022-08-03,49.23,49.48,48.3,48.64,236406
2022-08-04,49,49,46.76,46.76,541573
2022-08-05,46.9,48,44.69,47.76,533414
2022-08-08,48,49.38,47.26,49.38,313288
2022-08-09,49.4,49.78,47.68,48.2,356415
2022-08-10,48.19,49.55,47.7,48.7,407659
2022-08-11,49.44,49.44,48.33,48.72,188097
2022-08-12,48.91,51.64,48.9,50.38,779778
2022-08-16,50.9,51.48,50.3,50.54,414052
2022-08-17,50.2,50.68,47.82,48.9,600823
2022-08-18,48.88,55,48.51,55,1734804
2022-08-19,56,57.14,52.74,52.74,1312077
2022-08-22,52.04,54.22,51.58,53.5,536163
2022-08-23,53.5,56.22,52.8,55.9,737822
2022-08-24,55,55.58,53.1,53.1,490536
2022-08-25,53.9,54.96,52.52,52.86,426255
2022-08-26,52.54,53.16,51.64,51.64,286789
2022-08-29,51.32,53.3,49.86,53.3,439588
2022-08-30,54,54.6,49.5,49.52,874173
2022-08-31,50.04,51.18,47.07,47.56,846412
2022-09-01,47.4,47.44,44.22,44.28,911284
2022-09-02,45.5,45.5,42.22,43.11,998317
2022-09-05,42.46,43.97,41.99,42.48,687007
2022-09-06,42.95,43.4,38.9,39.32,1352645
2022-09-07,38.5,39.87,37.7,38.39,1250669
2022-09-08,39.18,40.02,37.5,38.02,809118
2022-09-09,38.86,40.38,38.5,39.74,1163396
2022-09-12,40,40.3,38.35,38.7,794708
2022-09-13,39.3,39.49,37.39,37.4,932372
2022-09-14,36.7,38.86,35.45,38.21,539228
2022-09-15,38.51,38.51,37.22,37.7,752221
2022-09-16,37.5,37.6,36.26,36.63,1243218
2022-09-19,37.19,38.19,36.66,38,706193
2022-09-20,38.84,39.4,37.05,37.29,576509
2022-09-21,37.29,38.12,36.77,37.75,545503
2022-09-22,37.7,39.28,37.12,38.72,472677
2022-09-23,38.5,38.5,37.3,37.6,548868
2022-09-26,36.5,36.5,33.37,33.94,1503121
2022-09-27,34,34.8,32.82,33.54,1249252
2022-09-28,33.51,34.3,32.5,33.82,777273
2022-09-29,34.2,34.76,32.4,33,587155
2022-09-30,33.23,33.81,32.52,33.34,545147
2022-10-03,33.35,35.14,32.32,35.14,579017
2022-10-04,36.5,36.62,34.91,36.6,625815
2022-10-05,36.2,36.6,35.53,36.06,348695
2022-10-06,36.47,36.68,35.3,35.7,244283
2022-10-07,35.7,36.65,35.42,36.3,319803
2022-10-10,36.02,36.3,33.82,33.89,400367
2022-10-11,33.7,35.36,33.38,34.56,473532
2022-10-12,35.01,35.98,33.84,35.62,615492
2022-10-13,35.63,36.63,35,36.4,650273
2022-10-14,37.22,38.08,36.51,37.18,749175
2022-10-17,37.3,38.16,36.9,37.75,299338
2022-10-18,38.12,38.44,36.17,36.25,347120
